Title,English Title,URL,Score,Genre,Season,Studio,Description
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",My Teen Romantic Comedy SNAFU Climax! OVA,https://myanimelist.net/anime/46431/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan__Dakara_Shishunki_wa_Owarazu_ni_Seishun_wa_Tsuzuiteiku,7.62,"Comedy,Romance,Love Polygon,School",,feel., adapts selected events from the Shin bonus novels that were released with the Season 3 BDs. 
Terrarium Adventure,,https://myanimelist.net/anime/54746/Terrarium_Adventure,N/A,"Fantasy,Isekai,Romantic Subtext",,,"""I'm a zillionaire in a gacha game!"""
Untarou Tabi Monogatari,Untarou's Journey,https://myanimelist.net/anime/55138/Untarou_Tabi_Monogatari,N/A,"Slice of Life,Anthropomorphic,Educational,Kids",,Joker Films,"This is a story of Untarou the poop, who one day, ventures out into the outside world. There he experiences various things and grows up to become fertilizer."
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,,https://myanimelist.net/anime/53671/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Next_Sky,7.38,"Slice of Life,Idols (Female),Music,School",,Sunrise,The OVA of 
Gyaku Isekai Tensei Agent Eiko-san,,https://myanimelist.net/anime/55757/Gyaku_Isekai_Tensei_Agent_Eiko-san,N/A,"Comedy,Fantasy,Reincarnation",,,"""Welcome. I'm Eiko, a reincarnation agent."""
Beauty and the Brawn,,https://myanimelist.net/anime/55724/Beauty_and_the_Brawn,N/A,"Boys Love,Comedy,Gag Humor,Historical",,,"Haeun is a nobleman who falls hard for Dullseh, his gorgeous, but extremely clueless manservant. Dullseh's impressive build reminds Haeun of the sexy men from gay erotica that he loves so much. Exams and career ambitions be damned—he just can't get Dullseh out of his mind! Silly hijinks ensue as Haeun will do whatever it takes to lure the hunky Dullseh into his bedchamber and possibly... his heart?!"
Mendako no Menmen,,https://myanimelist.net/anime/54953/Mendako_no_Menmen,N/A,"Slice of Life,Iyashikei",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Stand My Heroes: Warmth of Memories,,https://myanimelist.net/anime/48917/Stand_My_Heroes__Warmth_of_Memories,6.26,"Mystery,Romance,Reverse Harem,Shoujo",,M.S.C,"The OVA will be based on the Narumi Seo character map story event that was featured in the smartphone game in April 2018. Seo, who has a unique memory disorder, will appear alongside other heroes of the Seo Research Laboratory in the OVA."
Chang Jian Feng Yun 2nd Season,"Long Sword, Wind and Cloud 2nd Season",https://myanimelist.net/anime/55226/Chang_Jian_Feng_Yun_2nd_Season,N/A,"Action,Drama",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Jian Gu,,https://myanimelist.net/anime/55563/Jian_Gu,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
"Die, Please!",,https://myanimelist.net/anime/55726/Die_Please,N/A,"Fantasy,Romance,School",,,I just want to tell him how I feel!
Shashou Gu De,Good Killer,https://myanimelist.net/anime/55656/Shashou_Gu_De,N/A,"Action,Comedy",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
You Shou Yan 2nd Season,Fabulous Beasts 2nd Season,https://myanimelist.net/anime/55821/You_Shou_Yan_2nd_Season,N/A,"Comedy,Fantasy",,Fenz,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ayaka Mini Anime,,https://myanimelist.net/anime/55754/Ayaka_Mini_Anime,N/A,"Comedy,Fantasy",,AQUA ARIS,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ban Shen Zhi Jing,,https://myanimelist.net/anime/55657/Ban_Shen_Zhi_Jing,N/A,"Action,Fantasy",,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Wuhang Zhanshen,Five Element God of War,https://myanimelist.net/anime/55739/Wuhang_Zhanshen,N/A,"Action,Adventure,Fantasy,Martial Arts",,Ruo Hong Culture,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Moffun to Issho,,https://myanimelist.net/anime/55572/Moffun_to_Issho,N/A,Comedy,,,"A spin-off to the Ousama Sentai King-Ohger TV series, this series portrays the TV show "
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 5th Season,,https://myanimelist.net/anime/55279/Fudanshi_Shoukan__Isekai_de_Shinjuu_ni_Hameraremashita_5th_Season,N/A,"Boys Love,Fantasy,Isekai",,AQUA ARIS,Fifth season of 
"Kyou, Watashi no Monogatari ga Hashirimasu.",,https://myanimelist.net/anime/54352/Kyou_Watashi_no_Monogatari_ga_Hashirimasu,N/A,"Slice of Life,Sports,Racing",,Studio Colorido,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Bastions,,https://myanimelist.net/anime/55305/Bastions,N/A,"Action,Comedy,Music,Super Power",,,"The five-part series, which utilizes a 3D animation style, follows a group of superheroes in a world where they must compete for popularity as they achieve worldwide notoriety for unmasking a villain who posed an environmental threat."
Kimberly Mahou Gakkou no Yukai na Nichijou,,https://myanimelist.net/anime/55804/Kimberly_Mahou_Gakkou_no_Yukai_na_Nichijou,N/A,"Action,Fantasy,School",,AQUA ARIS, mini anime released on the official Twitter account.
Okashi na Tensei Mini Anime,,https://myanimelist.net/anime/55753/Okashi_na_Tensei_Mini_Anime,N/A,"Comedy,Gourmet",,AQUA ARIS, mini anime released online for ten consecutive days prior to the main series.
"Kyou, Watashi no Monogatari ga Hashirimasu.: Another Side-hen",,https://myanimelist.net/anime/55319/Kyou_Watashi_no_Monogatari_ga_Hashirimasu__Another_Side-hen,N/A,"Slice of Life,Sports,Adult Cast,Music,Racing",,Studio Colorido,The Japan Racing Association (JRA) original animated ad 
Jiu Tian Xuan Di Jue 4th Season,The Success Of Empyrean Xuan Emperor 4th Season,https://myanimelist.net/anime/55192/Jiu_Tian_Xuan_Di_Jue_4th_Season,N/A,"Action,Adventure,Fantasy,Martial Arts,Mythology",,Ruo Hong Culture,The fourth season of 
4 Week Lovers,,https://myanimelist.net/anime/55725/4_Week_Lovers,N/A,Boys Love,,,Wanna fake-date for four weeks?
Nushen You Dian Ling,Oh! My goddess!,https://myanimelist.net/anime/54773/Nushen_You_Dian_Ling,N/A,"Romance,Supernatural",,Xanthus Media,"Yao Ling and Hu Xiaozhen, who parted ways due to a misunderstanding in childhood, reunited in the academy after they grew up. The infatuated female protagonist hopes to continue writing a sweet journey with the male protagonist, but due to the appearance of the mysterious administrator, Ma Shen, ""accidents"" occur frequently. Under the lure of Ma Shen's plan, the two became acting administrators and they help spirits to realize their long-cherished dreams, in order to continue their progress in love. Through the experience of missions again and again, the relationship between Hu and Yao becomes deeper and deeper, and they are moving towards the road of righteousness. But the true purpose of Ma Shen gradually implicates the operating laws behind the world, and more mysteries, and dangers lie between the hero and heroine. "
Pi Zhe Lang Pi De Yang,A Sheep In Wolf's Clothing,https://myanimelist.net/anime/54779/Pi_Zhe_Lang_Pi_De_Yang,N/A,"Adventure,Comedy,Fantasy,Romance,Isekai",,,"Web-writer Lai Xiaoguang accidentally entered a virtual world called ""The Hand of God."" In this fantasy world, she turned into a werewolf named Da Niu and was involved in a national treasure theft case. In order to investigate the truth, she had to embark on a journey with Wang Cai the Goat King."
Tsunotsuno Taisou,Moove with Askr,https://myanimelist.net/anime/54928/Tsunotsuno_Taisou,5.95,"Comedy,Fantasy,Sports,Parody",,,An April Fool's video for the mobile game Fire Emblem Heroes.
You Shou Yan,Fabulous Beasts,https://myanimelist.net/anime/54974/You_Shou_Yan,N/A,"Comedy,Fantasy",,Fenz,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Qing Lian Jian Xian Chuan,Legend of Lotus Sword Fairy,https://myanimelist.net/anime/55015/Qing_Lian_Jian_Xian_Chuan,N/A,"Action,Adventure,Fantasy,Martial Arts",,Ruo Hong Culture,"Introduction: In the world of Cangyun, immortals and demons are constantly fighting against each other. Xu Changqing was born in Qinglian Sword Valley, and he wanted to be a sword fairy, but the good times didn't last long. The Ninth Demon General of Cangyue Palace invaded Qinglian Sword Valley. Grandpa Xu Changqing sacrificed. lost. Later, Kunlun Taibai Sword Immortal Qiu Wuya arrived, repelled the demon gate, and brought Xu Changqing and Mu Zixun to Kunlun. All the real people in Kunlun wanted to seize the Qinglian Emperor Sword, but Qiu Wuya stopped them. Xu Changqing awakened his celestial spirit ""Chaos Gathering Spirit Monument"", and was accepted as a disciple by Qiu Wuya. In the Immortal Sword Competition, Xu Changqing defeated Xia Qinghou to win the crown and was qualified to enter the forbidden area of ​​Kunlun. In order to find the fountain of immortality that could revive his grandfather, Xu Changqing chose to enter the dangerous forbidden area of ​​Kunlun."
Mao Zhi Ming 2nd Season,Cat's Tea 2nd Season,https://myanimelist.net/anime/54949/Mao_Zhi_Ming_2nd_Season,N/A,"Comedy,Fantasy",,,Second season of 
Shanhai Jihui,,https://myanimelist.net/anime/54895/Shanhai_Jihui,N/A,"Action,Sci-Fi",,Xuni Ying Ye,"In the future, with the increasing number of natural disasters and disasters from the universe, a mysterious organization called ""Shanhai Jihui"" appeared, intending to destroy and replace contemporary human beings. The protagonist, Lei Qi, joins the ""Titanium"" exoskeleton armored combat team, and has a multi-faceted confrontation with this mysterious technological organization. Through step-by-step decryption, he discovered that the human dream is actually a window to fully access the entire universe, so he revolved around the reality and the quadrant. The exploration of the world and the confrontation between civilizations of different ages began... "
Shu Tian Fu Mo Lu,The Guardian Legend,https://myanimelist.net/anime/55186/Shu_Tian_Fu_Mo_Lu,N/A,"Action,Adventure,Fantasy",,Big Firebird Culture,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ni Tian Zhan Ji,The Rise of the Weak,https://myanimelist.net/anime/54931/Ni_Tian_Zhan_Ji,N/A,"Action,Adventure,Comedy,Fantasy",,Fengyun Animation,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Cang Yuan Tu,The Demon Hunter,https://myanimelist.net/anime/55655/Cang_Yuan_Tu,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,Shenman Entertainment,"Meng Chuan witnessed his mother killed before his eyes, so he trained very hard hoping to one day avenge her death. But his peaceful days were broken as his wedding engagement was called off, an invasion by foreign forces, the sanctuary fell into enemy hands... In order to protect the people of Ning City, he picked up his sword and vowed to be the strongest. This is a heavy responsibility and a long journey"
Bu Mie Shen Wang,The Rich God,https://myanimelist.net/anime/54997/Bu_Mie_Shen_Wang,N/A,"Action,Adventure,Comedy,Fantasy",,Djinn Power,"The financial talent Wang Ke was accidentally brought to the Shenzhou Star by the ancestral sword. With the help of his family's blazing sun, he drove low and walked high, and worshiped the fairy gate. He thought he would make a fortune, but he didn't want to be involved in the two turbulent undercurrents of righteousness and evil. Relying on his talent and wit, Wang Ke made every step of the way, won the hearts of beauties, built a business empire, stepped on the road of defending the way and eliminating demons step by step, and eventually became the immortal king. "
Shuumatsu no Walküre II Mini Anime,,https://myanimelist.net/anime/54990/Shuumatsu_no_Walk%C3%BCre_II_Mini_Anime,N/A,Comedy,,AQUA ARIS,Short episodes with super-deformed characters posted on the official Twitter account and on Warner Bros. Japan.
Zhen Wu Dianfeng 2nd Season,The Peak of True Martial Arts 2nd Season,https://myanimelist.net/anime/55130/Zhen_Wu_Dianfeng_2nd_Season,N/A,"Action,Adventure,Fantasy,Historical,Martial Arts",,Ruo Hong Culture,The second season of 
Dianqi Shaonu,"Watt's Up, Girl?",https://myanimelist.net/anime/54973/Dianqi_Shaonu,N/A,Comedy,,Shengguang Knight Culture,"Liang Xigua is a poor young man struggling to make a living in the cracks of the city. One day, his old refrigerator, which had been with him for many lonely summers, took on a human form and intervened in his life. They confront each other over food, struggle to make ends meet, drag each other down, and support each other, resulting in lots of ludicrous daily stories. Xigua gradually realizes that he is not the only one who has awakened the life of the appliance."
